"SIC2007 Table 5.5a   Hourly pay - Gross (£) - For all employee jobsa: United Kingdom, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, ARTS, ENTERTAINMENT AND RECREATION ",R,49,13.13,8.0,x,,11.44,11.53,11.66,11.95,12.37,14.36,15.85,16.82,18.33,x,,,,,,,,
"WEST MIDLANDS, Creative, arts and entertainment activities ",90,x,16.87,,20.68,5.3,x,x,12.00,12.56,14.52,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Libraries, archives, museums and other cultural activities ",91,6,14.90,11.6,17.35,2.4,x,x,12.03,12.30,13.30,x,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Gambling and betting activities ",92,10,13.91,-2.5,15.59,2.4,x,11.83,12.30,12.48,12.95,14.62,15.77,16.82,x,x,,,,,,,,
"WEST MIDLANDS, Sports activities and amusement and recreation activities ",93,28,12.37,8.6,x,,9.11,11.44,11.44,11.54,11.95,13.26,14.36,15.40,16.52,x,,,,,,,,
"WEST MIDLANDS, OTHER SERVICE ACTIVITIES ",S,46,13.81,0.4,18.52,3.4,11.44,11.50,11.98,12.15,12.82,16.25,18.64,20.64,23.93,x,,,,,,,,
"WEST MIDLANDS, Activities of membership organisations ",94,18,14.97,6.4,19.11,10.4,11.47,12.00,12.35,12.79,13.53,17.20,18.92,20.75,x,x,,,,,,,,
"WEST MIDLANDS, Repair of computers and personal and household goods ",95,9,19.80,1.4,22.67,1.4,x,12.96,13.28,13.43,17.10,23.91,27.80,x,x,x,,,,,,,,
"WEST MIDLANDS, Other personal service activities ",96,18,12.27,0.1,15.59,-5.7,11.43,x,11.44,11.45,11.96,12.56,13.95,x,x,x,,,,,,,,
"WEST MIDLANDS, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,6,12.44,8.4,14.14,7.0,x,x,11.44,11.49,11.95,12.50,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Activities of households as employers of domestic personnel ",97,6,12.44,8.4,14.14,7.0,x,x,11.44,11.49,11.95,12.50,x,x,x,x,,,,,,,,
"WEST MIDLANDS, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,:,,,,,,,,,,,,,,,,,,,,,,
"WEST MIDLANDS, Activities of extraterritorial organisations and bodies ",99,:,,,,,,,,,,,,,,,,,,,,,,
East All Industries and Services,,"2,503",16.74,6.8,21.10,9.0,11.56,12.38,12.84,13.40,14.91,18.98,22.06,23.96,26.06,33.19,,,,,,,,
East All Index of Production Industries,,276,18.67,10.7,23.02,16.1,12.35,13.50,14.29,15.17,16.77,21.19,24.15,26.03,28.36,36.28,,,,,,,,
East All Manufacturing,,244,18.56,10.7,23.24,17.0,12.25,13.42,14.13,15.00,16.57,21.01,24.33,26.44,28.75,36.76,,,,,,,,
East All Service Industries,,"2,088",16.30,6.3,20.72,7.6,11.52,12.21,12.62,13.18,14.53,18.63,21.80,23.54,25.68,32.64,,,,,,,,
"EAST, AGRICULTURE, FORESTRY AND FISHING ",A,21,13.59,11.9,15.72,15.6,11.44,11.65,12.01,12.23,13.06,14.29,15.86,16.39,x,x,,,,,,,,
"EAST, Crop and animal production, hunting and related service activities ",1,20,13.36,11.1,15.71,15.9,11.44,11.64,11.98,12.13,12.82,13.93,15.73,16.35,x,x,,,,,,,,
"EAST, Forestry and logging ",2,x,15.48,6.8,16.22,9.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Fishing and aquaculture ",3,:,,,,,,,,,,,,,,,,,,,,,,
"EAST, MINING AND QUARRYING ",B,x,15.10,,17.00,-11.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"EAST, Extraction of crude petroleum and natural gas ",6,:,,,,,,,,,,,,,,,,,,,,,,
"EAST, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"EAST, Other mining and quarrying ",8,x,17.11,,17.49,-4.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Mining support service activities ",9,..,,,,,,,,,,,,,,,,,,,,,,
"EAST, MANUFACTURING ",C,244,18.56,10.7,23.24,17.0,12.25,13.42,14.13,15.00,16.57,21.01,24.33,26.44,28.75,36.76,,,,,,,,
"EAST, Manufacture of food products ",10,35,14.77,8.5,17.71,8.0,11.80,12.43,12.75,13.15,13.83,16.19,18.67,20.49,21.45,x,,,,,,,,
"EAST, Manufacture of beverages ",11,x,15.44,16.5,17.46,19.6,x,x,x,x,x,16.91,x,x,x,x,,,,,,,,
"EAST, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"EAST, Manufacture of textiles ",13,x,x,,17.38,-27.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Manufacture of wearing apparel ",14,x,11.87,,13.22,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Manufacture of leather and related products ",15,x,12.95,,13.04,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,6,17.20,9.5,18.73,18.2,x,13.41,13.64,13.96,16.10,18.19,19.96,x,x,x,,,,,,,,
"EAST, Manufacture of paper and paper products ",17,5,15.51,1.9,16.79,-5.5,x,12.97,13.35,13.68,14.32,16.19,x,x,x,x,,,,,,,,
"EAST, Printing and reproduction of recorded media ",18,6,15.36,9.9,20.01,16.6,x,x,13.32,13.52,14.13,17.10,x,x,x,x,,,,,,,,
"EAST, Manufacture of coke and refined petroleum products ",19,x,26.96,8.9,28.46,11.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Manufacture of chemicals and chemical products ",20,11,19.60,-4.3,23.04,1.7,x,14.58,15.18,15.84,17.48,22.93,25.72,x,x,x,,,,,,,,
"EAST, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,23,27.59,35.7,33.65,44.0,17.29,20.32,21.01,22.25,24.83,32.25,40.29,42.29,x,x,,,,,,,,
"EAST, Manufacture of rubber and plastic products ",22,15,15.32,-0.3,20.89,10.6,11.50,12.15,12.71,13.03,14.15,16.88,19.17,x,x,x,,,,,,,,
"EAST, Manufacture of other non-metallic mineral products ",23,8,17.45,7.3,19.17,6.1,x,13.46,13.81,14.92,15.80,18.78,x,x,x,x,,,,,,,,
"EAST, Manufacture of basic metals ",24,x,14.08,13.3,16.44,10.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Manufacture of fabricated metal products, except machinery and equipment ",25,29,17.61,4.8,x,,12.11,13.74,14.69,15.07,16.21,19.18,22.38,24.34,25.87,x,,,,,,,,
"EAST, Manufacture of computer, electronic and optical products ",26,16,19.10,9.3,25.07,11.8,12.42,13.40,13.99,14.38,17.00,23.69,29.00,x,x,x,,,,,,,,
"EAST, Manufacture of electrical equipment ",27,7,20.64,19.9,21.33,6.5,x,13.12,14.04,14.97,17.73,22.03,24.31,x,x,x,,,,,,,,
"EAST, Manufacture of machinery and equipment n.e.c. ",28,24,19.47,4.4,22.59,5.4,13.29,15.46,15.91,16.58,18.20,22.12,24.83,26.08,28.80,x,,,,,,,,
"EAST, Manufacture of motor vehicles, trailers and semi-trailers ",29,15,23.85,4.0,26.97,1.6,13.38,14.68,16.52,18.33,21.13,30.86,34.06,35.45,x,x,,,,,,,,
"EAST, Manufacture of other transport equipment ",30,13,23.23,3.1,25.68,-9.2,12.99,15.55,17.88,18.91,21.27,25.60,29.46,31.07,x,x,,,,,,,,
"EAST, Manufacture of furniture ",31,6,16.62,3.7,17.50,-14.5,x,x,14.41,14.92,16.19,17.23,x,x,x,x,,,,,,,,
"EAST, Other manufacturing ",32,6,17.38,-2.4,18.42,0.1,x,12.48,13.13,13.63,14.61,19.00,20.86,x,x,x,,,,,,,,
"EAST, Repair and installation of machinery and equipment ",33,8,20.05,15.0,20.79,10.5,x,14.00,15.64,16.34,17.51,21.30,22.93,x,x,x,,,,,,,,
"EAST, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,8,24.98,16.1,26.42,13.8,x,18.23,19.06,19.71,22.01,26.44,x,x,x,x,,,,,,,,
"EAST, Electricity, gas, steam and air conditioning supply ",35,8,24.98,16.1,26.42,13.8,x,18.23,19.06,19.71,22.01,26.44,x,x,x,x,,,,,,,,
"EAST, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,23,18.03,4.5,19.87,6.6,12.50,14.09,14.56,15.52,17.06,20.33,22.43,23.14,24.08,x,,,,,,,,
"EAST, Water collection, treatment and supply ",36,10,22.17,4.6,22.54,6.5,15.51,16.90,17.27,18.74,20.13,22.75,24.33,x,x,x,,,,,,,,
"EAST, Sewerage ",37,x,18.54,-0.8,20.74,8.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Waste collection, treatment and disposal activities; materials recovery ",38,11,15.75,-1.0,17.47,0.1,x,12.61,13.25,13.60,14.47,17.32,18.02,20.33,x,x,,,,,,,,
"EAST, Remediation activities and other waste management services ",39,x,15.85,3.3,17.15,8.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, CONSTRUCTION ",F,118,18.88,6.6,23.07,10.4,12.00,13.84,14.95,15.50,17.41,20.46,23.45,25.84,27.83,x,,,,,,,,
"EAST, Construction of buildings ",41,31,19.53,-0.3,23.33,-2.3,12.50,14.86,15.56,16.61,18.01,21.50,25.99,27.20,29.76,x,,,,,,,,
"EAST, Civil engineering ",42,25,19.73,11.2,27.91,41.9,12.15,15.06,15.76,16.38,17.82,23.46,26.56,29.91,x,x,,,,,,,,
"EAST, Specialised construction activities ",43,62,18.25,8.1,20.79,7.2,11.71,13.01,14.00,14.99,16.76,19.75,21.61,22.99,25.45,x,,,,,,,,
"EAST, WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ",G,359,13.80,9.1,18.68,14.2,11.44,11.62,11.91,12.07,12.79,15.29,17.62,19.12,21.35,28.81,,,,,,,,
"EAST, Wholesale and retail trade and repair of motor vehicles and motorcycles ",45,55,15.56,11.9,18.83,17.5,11.52,12.32,13.00,13.47,14.38,16.90,18.22,19.16,20.94,x,,,,,,,,
"EAST, Wholesale trade, except of motor vehicles and motorcycles ",46,118,17.37,10.1,21.82,15.0,11.79,12.76,13.41,13.99,15.52,19.95,22.96,25.27,27.37,35.85,,,,,,,,
"EAST, Retail trade, except of motor vehicles and motorcycles ",47,187,12.41,8.5,15.90,10.9,11.25,11.47,11.55,11.62,12.00,13.00,14.06,14.95,16.25,21.83,,,,,,,,
"EAST, TRANSPORTATION AND STORAGE ",H,104,16.54,4.7,19.47,5.7,12.48,13.26,13.70,14.45,15.35,17.95,20.25,21.87,24.04,32.63,,,,,,,,
"EAST, Land transport and transport via pipelines ",49,44,16.20,8.6,18.82,11.7,12.35,13.00,13.40,13.99,14.99,17.46,19.31,21.03,23.67,x,,,,,,,,
"EAST, Water transport ",50,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Air transport ",51,x,x,,33.37,-10.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Warehousing and support activities for transportation ",52,37,17.54,5.2,20.05,3.7,12.35,13.25,13.66,14.73,15.96,19.49,21.83,23.81,25.71,x,,,,,,,,
"EAST, Postal and courier activities ",53,19,15.49,4.9,17.25,3.5,12.91,14.32,14.45,14.64,15.04,16.64,17.44,17.86,18.86,x,,,,,,,,
"EAST, ACCOMMODATION AND FOOD SERVICE ACTIVITIES ",I,134,11.98,8.9,14.57,10.9,9.16,11.30,x,11.44,11.56,12.50,13.36,14.03,14.90,18.22,,,,,,,,
"EAST, Accommodation ",55,36,12.78,11.2,16.58,10.8,11.17,11.49,11.60,11.73,12.20,13.80,15.22,16.29,18.02,x,,,,,,,,
"EAST, Food and beverage service activities ",56,98,11.64,7.7,13.74,11.3,8.88,10.71,11.41,11.44,11.49,12.11,12.94,13.39,14.05,16.13,,,,,,,,
"EAST, INFORMATION AND COMMUNICATION ",J,79,23.37,9.7,26.79,8.6,13.43,16.61,17.92,18.94,20.90,25.85,30.67,33.62,36.30,x,,,,,,,,
"EAST, Publishing activities ",58,9,19.57,15.7,22.64,1.8,x,15.70,16.49,17.31,18.47,20.55,22.60,x,x,x,,,,,,,,
"EAST, Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,15.21,,16.68,-5.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Programming and broadcasting activities ",60,x,22.96,,25.57,-15.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, Telecommunications ",61,18,24.70,7.5,26.64,7.2,15.98,18.88,19.54,20.27,22.29,26.24,30.48,32.02,34.94,x,,,,,,,,
"EAST, Computer programming, consultancy and related activities ",62,44,24.89,17.7,28.55,12.6,13.70,16.85,18.43,20.20,22.40,29.18,34.44,36.77,38.46,x,,,,,,,,
"EAST, Information service activities ",63,x,x,,22.67,-7.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"EAST, FINANCIAL AND INSURANCE ACTIVITIES ",K,64,20.74,-1.6,25.17,-0.3,12.46,13.63,14.74,15.37,17.12,24.49,28.92,31.03,33.22,x,,,,,,,,
"EAST, Financial service activities, except insurance and pension funding ",64,22,20.95,-0.2,25.94,-4.6,13.23,14.62,15.62,15.95,18.00,24.39,28.89,30.90,x,x,,,,,,,,
"EAST, Insurance, reinsurance and pension funding, except compulsory social security ",65,13,22.77,-7.5,27.10,-2.8,13.24,14.96,15.38,15.90,18.51,27.11,31.73,x,x,x,,,,,,,,
"EAST, Activities auxiliary to financial services and insurance activities ",66,30,19.21,-3.1,23.73,2.2,11.89,12.63,13.16,13.95,15.55,22.72,27.46,29.35,31.83,x,,,,,,,,
"EAST, REAL ESTATE ACTIVITIES ",L,32,15.83,4.5,19.46,8.5,11.62,12.44,12.79,13.55,14.70,17.33,19.82,21.40,24.10,x,,,,,,,,
"EAST, Real estate activities ",68,32,15.83,4.5,19.46,8.5,11.62,12.44,12.79,13.55,14.70,17.33,19.82,21.40,24.10,x,,,,,,,,
"EAST, PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,184,20.57,-2.8,25.26,-4.1,12.30,14.16,14.90,15.75,18.08,23.86,26.93,29.03,32.79,41.89,,,,,,,,
"EAST, Legal and accounting activities ",69,45,18.42,-2.3,23.46,3.7,12.37,13.47,14.00,14.73,16.00,21.86,26.18,27.78,31.92,x,,,,,,,,
"EAST, Activities of head offices; management consultancy activities ",70,36,20.57,-6.4,25.68,-7.3,12.00,13.33,14.12,14.88,17.79,23.59,26.83,29.51,32.91,x,,,,,,,,
"EAST, Architectural and engineering activities; technical testing and analysis ",71,45,21.17,0.8,26.13,-1.5,13.33,15.01,15.54,16.94,19.26,24.00,28.15,31.57,33.76,x,,,,,,,,
"EAST, Scientific research and development ",72,37,24.14,-5.5,28.25,-8.4,14.58,17.19,18.15,19.24,21.11,26.47,30.03,32.29,34.77,x,,,,,,,,
"EAST, Advertising and market research ",73,x,20.70,,25.17,14.1,x,x,x,x,16.46,25.02,x,x,x,x,,,,,,,,
"EAST, Other professional, scientific and technical activities ",74,10,17.54,5.8,21.44,4.1,x,12.24,12.84,13.93,15.74,19.20,x,x,x,x,,,,,,,,
"EAST, Veterinary activities ",75,7,14.28,8.0,16.43,-2.1,x,11.56,11.61,11.94,12.94,16.03,17.50,x,x,x,,,,,,,,
"EAST, ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ",N,236,16.14,8.9,17.96,6.8,11.47,12.06,12.52,13.00,14.50,17.69,20.52,22.05,23.76,28.60,,,,,,,,
"EAST, Rental and leasing activities ",77,14,17.60,5.1,19.48,10.0,12.26,13.50,14.43,14.88,16.53,19.68,20.90,22.26,x,x,,,,,,,,
"EAST, Employment activities ",78,137,16.89,5.5,17.64,2.1,11.50,12.52,13.12,14.03,16.14,18.86,21.80,22.99,24.23,28.33,,,,,,,,
"EAST, Travel agency, tour operator and other reservation service and related activities ",79,8,20.37,,22.46,3.9,x,13.92,14.24,14.43,15.67,24.12,26.66,x,x,x,,,,,,,,
"EAST, Security and investigation activities ",80,11,13.86,10.5,15.98,6.5,12.03,12.43,12.87,12.99,13.29,14.27,15.58,x,x,x,,,,,,,,
"EAST, Services to buildings and landscape activities ",81,41,12.19,6.5,14.48,5.3,11.40,11.44,11.50,11.59,12.00,12.82,13.87,14.71,15.33,x,,,,,,,,
"EAST, Office administrative, office support and other business support activities ",82,25,17.78,12.1,22.46,14.3,11.66,12.86,13.32,14.36,16.72,20.00,24.08,27.20,x,x,,,,,,,,
"EAST, PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ",O,137,19.44,9.4,21.07,8.5,13.33,15.02,15.69,16.39,17.81,21.48,23.78,24.33,25.35,28.90,,,,,,,,
"EAST, Public administration and defence; compulsory social security ",84,137,19.44,9.4,21.07,8.5,13.33,15.02,15.69,16.39,17.81,21.48,23.78,24.33,25.35,28.90,,,,,,,,
"EAST, EDUCATION ",P,284,18.32,2.9,21.49,2.3,11.98,12.72,13.38,13.96,15.81,21.17,25.10,26.86,28.35,34.73,,,,,,,,
"EAST, Education ",85,284,18.32,2.9,21.49,2.3,11.98,12.72,13.38,13.96,15.81,21.17,25.10,26.86,28.35,34.73,,,,,,,,
"EAST, HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ",Q,374,16.48,10.9,20.16,12.0,11.67,12.44,12.74,13.18,14.42,19.07,22.19,23.41,25.21,30.43,,,,,,,,
"EAST, Human health activities ",86,266,19.08,9.4,22.09,11.1,12.11,13.02,13.86,14.53,16.81,21.82,23.52,25.60,26.61,33.52,,,,,,,,
"EAST, Residential care activities ",87,58,12.85,6.4,15.15,9.1,11.45,11.76,11.92,12.00,12.49,13.50,14.57,15.69,16.78,x,,,,,,,,
"EAST, Social work activities without accommodation ",88,51,13.12,4.4,15.61,1.2,11.44,11.68,11.85,12.00,12.48,13.98,15.20,16.31,17.34,x,,,,,,,,
"EAST, ARTS, ENTERTAINMENT AND RECREATION ",R,52,13.45,8.7,x,,10.74,11.54,11.80,11.98,12.55,14.60,15.81,16.84,19.26,x,,,,,,,,
"EAST, Creative, arts and entertainment activities ",90,x,15.27,-11.2,19.81,9.2,x,x,x,14.05,14.90,x,x,x,x,x,,,,,,,,
"EAST, Libraries, archives, museums and other cultural activities ",91,6,14.74,17.8,17.07,3.6,x,11.45,11.83,11.97,13.37,16.46,x,x,x,x,,,,,,,,
"EAST, Gambling and betting activities ",92,6,14.48,4.9,19.13,2.7,x,12.08,12.62,12.85,13.55,15.78,x,x,x,x,,,,,,,,
"EAST, Sports activities and amusement and recreation activities ",93,36,12.87,9.5,x,,9.88,11.44,11.54,11.81,12.09,13.75,15.05,15.62,16.72,x,,,,,,,,
"EAST, OTHER SERVICE ACTIVITIES ",S,44,16.09,12.6,21.03,16.4,11.47,12.11,12.65,13.03,14.48,18.19,20.97,22.40,24.86,x,,,,,,,,
"EAST, Activities of membership organisations ",94,22,17.19,18.2,21.44,17.7,11.85,12.86,13.20,13.71,15.88,18.62,20.64,22.00,x,x,,,,,,,,
"EAST, Repair of computers and personal and household goods ",95,9,x,,26.36,12.8,12.54,13.85,15.35,15.46,19.06,24.58,x,x,x,x,,,,,,,,
"EAST, Other personal service activities ",96,13,12.63,11.0,15.46,12.1,x,x,11.46,11.54,11.99,13.72,15.09,15.98,x,x,,,,,,,,
"EAST, ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ",T,5,13.40,0.0,13.59,1.5,x,11.79,x,12.22,12.62,14.00,x,x,x,x,,,,,,,,
"EAST, Activities of households as employers of domestic personnel ",97,5,13.40,0.0,13.59,1.5,x,11.79,x,12.22,12.62,14.00,x,x,x,x,,,,,,,,
"EAST, Undifferentiated goods- and services-producing activities of private households for own use ",98,:,,,,,,,,,,,,,,,,,,,,,,
"EAST, ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ",U,..,,,,,,,,,,,,,,,,,,,,,,
"EAST, Activities of extraterritorial organisations and bodies ",99,..,,,,,,,,,,,,,,,,,,,,,,
London All Industries and Services,,"4,450",21.88,6.2,28.45,6.5,12.52,14.24,15.21,16.43,19.05,25.62,30.00,32.59,36.05,47.77,,,,,,,,
London All Index of Production Industries,,126,20.21,11.5,25.10,13.3,12.56,13.97,14.70,15.52,17.74,23.15,27.89,29.84,32.88,40.60,,,,,,,,
London All Manufacturing,,103,19.66,10.6,24.97,13.8,12.45,13.83,14.37,15.06,17.00,22.33,27.01,29.31,32.19,x,,,,,,,,
London All Service Industries,,"4,216",21.92,6.1,28.58,6.1,12.52,14.25,15.22,16.46,19.10,25.69,30.02,32.71,36.18,47.93,,,,,,,,
"LONDON, AGRICULTURE, FORESTRY AND FISHING ",A,x,13.28,6.3,15.24,5.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Crop and animal production, hunting and related service activities ",1,x,13.28,5.8,15.24,4.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Forestry and logging ",2,:,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Fishing and aquaculture ",3,:,,,,,,,,,,,,,,,,,,,,,,
"LONDON, MINING AND QUARRYING ",B,x,x,,38.84,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Extraction of crude petroleum and natural gas ",6,..,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Other mining and quarrying ",8,:,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Mining support service activities ",9,..,,,,,,,,,,,,,,,,,,,,,,
"LONDON, MANUFACTURING ",C,103,19.66,10.6,24.97,13.8,12.45,13.83,14.37,15.06,17.00,22.33,27.01,29.31,32.19,x,,,,,,,,
"LONDON, Manufacture of food products ",10,23,14.70,5.9,21.48,24.0,11.60,12.38,12.68,13.10,13.94,16.18,20.17,x,x,x,,,,,,,,
"LONDON, Manufacture of beverages ",11,9,25.22,4.8,28.55,-2.6,x,17.08,18.84,20.15,21.22,27.00,x,x,x,x,,,,,,,,
"LONDON, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Manufacture of textiles ",13,x,15.39,14.8,17.57,14.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of wearing apparel ",14,x,14.60,12.4,18.16,16.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of leather and related products ",15,x,14.02,,14.73,-12.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,x,21.56,10.3,20.40,2.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of paper and paper products ",17,..,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Printing and reproduction of recorded media ",18,6,16.71,-3.7,18.39,-18.1,x,12.50,13.29,13.82,15.36,17.39,x,x,x,x,,,,,,,,
"LONDON, Manufacture of coke and refined petroleum products ",19,:,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Manufacture of chemicals and chemical products ",20,x,16.83,,19.47,-10.6,x,x,x,x,16.34,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,8,x,,42.73,110.3,x,19.04,x,x,30.54,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of rubber and plastic products ",22,x,15.36,,18.41,-23.7,x,x,x,13.00,14.41,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of other non-metallic mineral products ",23,x,13.55,-15.8,16.82,2.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of basic metals ",24,..,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Manufacture of fabricated metal products, except machinery and equipment ",25,x,17.09,1.2,x,,x,x,15.13,15.51,16.96,19.30,x,x,x,x,,,,,,,,
"LONDON, Manufacture of computer, electronic and optical products ",26,x,23.62,,28.82,26.5,x,x,x,18.64,21.40,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of electrical equipment ",27,x,x,,27.54,4.4,x,x,15.37,16.61,19.38,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of machinery and equipment n.e.c. ",28,x,19.94,15.0,19.81,3.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of motor vehicles, trailers and semi-trailers ",29,x,30.61,,30.25,-6.6,x,x,x,28.27,29.77,31.12,x,x,x,x,,,,,,,,
"LONDON, Manufacture of other transport equipment ",30,x,x,,29.90,20.4,x,x,x,x,20.73,x,x,x,x,x,,,,,,,,
"LONDON, Manufacture of furniture ",31,x,16.53,,19.54,-14.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, Other manufacturing ",32,x,x,,24.09,16.6,x,x,x,x,16.01,x,x,x,x,x,,,,,,,,
"LONDON, Repair and installation of machinery and equipment ",33,7,20.82,9.1,22.51,6.7,x,x,15.70,16.56,19.64,22.44,x,x,x,x,,,,,,,,
"LONDON, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,10,29.32,30.9,31.72,23.3,x,20.53,21.52,23.23,26.91,31.27,x,x,x,x,,,,,,,,
"LONDON, Electricity, gas, steam and air conditioning supply ",35,10,29.32,30.9,31.72,23.3,x,20.53,21.52,23.23,26.91,31.27,x,x,x,x,,,,,,,,
"LONDON, WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,11,17.76,-1.0,19.26,0.6,13.37,13.99,14.71,15.34,16.18,19.14,20.37,22.28,x,x,,,,,,,,
"LONDON, Water collection, treatment and supply ",36,:,,,,,,,,,,,,,,,,,,,,,,
"LONDON, Sewerage ",37,x,18.95,,19.99,-12.4,x,x,x,x,17.78,x,x,x,x,x,,,,,,,,
"LONDON, Waste collection, treatment and disposal activities; materials recovery ",38,7,16.66,9.7,19.11,8.8,13.40,14.09,14.76,15.13,16.02,18.03,x,x,x,x,,,,,,,,
"LONDON, Remediation activities and other waste management services ",39,x,14.97,-18.2,17.04,-4.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"LONDON, CONSTRUCTION ",F,106,22.07,3.9,28.29,14.4,12.01,14.67,15.81,17.04,19.74,25.30,30.43,31.89,35.94,x,,,,,,,,
"LONDON, Construction of buildings ",41,50,25.02,7.6,33.40,20.9,12.00,15.62,17.07,18.66,20.57,31.19,35.69,38.25,40.85,x,,,,,,,,
"LONDON, Civil engineering ",42,15,22.18,5.4,26.59,3.1,14.38,16.16,16.77,17.69,20.27,24.75,29.56,x,x,x,,,,,,,,
"LONDON, Specialised construction activities ",43,42,20.10,3.2,22.88,7.5,11.83,13.61,14.48,15.29,17.20,22.78,25.05,27.57,29.11,x,,,,,,,,
